#                                                                            
# .csv to store UE's information in HSS                                      
# Kept in the following format: "Name,IMSI,Key,OP_Type,OP,AMF,SQN,QCI"     
#                                                                            
# Name:    Human readable name to help distinguish UE's. Ignored by the HSS  
# IMSI:    UE's IMSI value                                                   
# Key:     UE's key, where other keys are derived from. Stored in hexadecimal
# OP_Type: Operator's code type, either OP or OPc                            
# OP/OPc:  Operator Code/Cyphered Operator Code, stored in hexadecimal       
# AMF:     Authentication management field, stored in hexadecimal            
# SQN:     UE's Sequence number for freshness of the authentication          
# QCI:     QoS Class Identifier for the UE's default bearer.                 
#                                                                            
# Note: Lines starting by '#' are ignored and will be overwritten            
ue3,001010000001001,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue4,001010000001002,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue5,001010000001003,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue6,001010000001004,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue7,001010000001005,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue8,001010000001006,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue9,001010000001007,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue10,001010000001008,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue11,001010000001009,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue12,001010000001010,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue13,001010000001011,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue14,001010000001012,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue15,001010000001013,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue16,001010000001014,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue17,001010000001015,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue18,001010000001016,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue19,001010000001017,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue20,001010000001018,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue21,001010000001019,00112233445566778899aabbccddeeff,op,63bfa50ee6523365ff14c1f45f88737d,8002,000000001234,7
ue2,001010123456780,00112233445566778899aabbccddeeff,opc,63bfa50ee6523365ff14c1f45f88737d,8000,000000001234,7
ue1,001010123456789,00112233445566778899aabbccddeeff,opc,63bfa50ee6523365ff14c1f45f88737d,9001,00000000137e,7
